year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,558,-2,924,7,UA,N29129,194,JFK,LAX,345,2475,5,58
2013,1,1,628,-2,1016,29,UA,N33289,1665,EWR,LAX,366,2454,6,28
2013,1,1,658,-2,1027,2,VX,N627VA,399,JFK,LAX,361,2475,6,58
2013,1,1,702,2,1058,44,B6,N779JB,671,JFK,LAX,381,2475,7,2
2013,1,1,743,13,1107,7,AA,N338AA,33,JFK,LAX,358,2475,7,43
2013,1,1,828,5,1150,7,UA,N76528,1506,EWR,LAX,359,2454,8,28
2013,1,1,829,-1,1152,-8,UA,N554UA,443,JFK,LAX,360,2475,8,29
2013,1,1,856,-4,1226,6,AA,N324AA,1,JFK,LAX,358,2475,8,56
2013,1,1,859,-1,1223,-2,VX,N846VA,407,JFK,LAX,359,2475,8,59
2013,1,1,921,21,1237,10,DL,N713TW,120,JFK,LAX,333,2475,9,21
2013,1,1,941,-4,1300,2,B6,N806JB,679,JFK,LAX,352,2475,9,41
2013,1,1,953,32,1320,39,UA,N586UA,222,EWR,LAX,346,2454,9,53
2013,1,1,1026,-4,1351,11,AA,N328AA,19,JFK,LAX,356,2475,10,26
2013,1,1,1127,-3,1504,16,UA,N518UA,703,JFK,LAX,357,2475,11,27
2013,1,1,1133,3,1448,-2,VX,N839VA,409,JFK,LAX,347,2475,11,33
2013,1,1,1153,-7,1450,-39,DL,N712TW,863,JFK,LAX,330,2475,11,53
2013,1,1,1155,-5,1517,7,AA,N322AA,3,JFK,LAX,353,2475,11,55
2013,1,1,1320,0,1625,-11,UA,N58101,1425,EWR,LAX,334,2454,13,20
2013,1,1,1327,-3,1638,-17,VX,N642VA,411,JFK,LAX,352,2475,13,27
2013,1,1,1337,77,1649,78,B6,N636JB,673,JFK,LAX,352,2475,13,37
2013,1,1,1341,-4,1709,4,AA,N339AA,117,JFK,LAX,362,2475,13,41
2013,1,1,1454,-6,1815,-22,DL,N702TW,1467,JFK,LAX,340,2475,14,54
2013,1,1,1522,-8,1858,3,UA,N512UA,530,JFK,LAX,356,2475,15,22
2013,1,1,1523,7,1831,3,UA,N18112,1600,EWR,LAX,337,2454,15,23
2013,1,1,1539,-6,1853,-17,AA,N319AA,133,JFK,LAX,351,2475,15,39
2013,1,1,1626,-4,2007,15,B6,N804JB,675,JFK,LAX,370,2475,16,26
2013,1,1,1655,0,2025,-5,VX,N626VA,413,JFK,LAX,362,2475,16,55
2013,1,1,1707,7,2006,6,UA,N543UA,342,EWR,LAX,334,2454,17,7
2013,1,1,1720,-5,2121,16,DL,N723TW,513,JFK,LAX,363,2475,17,20
2013,1,1,1750,0,2109,-6,UA,N525UA,535,JFK,LAX,345,2475,17,50
2013,1,1,1802,1,2125,-12,UA,N75429,1165,EWR,LAX,340,2454,18,2
2013,1,1,1820,0,2216,26,AA,N3FMAA,119,EWR,LAX,366,2454,18,20
2013,1,1,1856,131,2212,127,AA,N323AA,181,JFK,LAX,336,2475,18,56
2013,1,1,1925,25,2259,21,DL,N624AG,87,JFK,LAX,332,2475,19,25
2013,1,1,1937,32,2250,25,AA,N327AA,21,JFK,LAX,332,2475,19,37
2013,1,1,1952,-8,2314,-11,VX,N640VA,415,JFK,LAX,349,2475,19,52
2013,1,1,2035,5,2337,-28,UA,N38268,1482,EWR,LAX,333,2454,20,35
2013,1,1,2107,27,2354,-5,B6,N779JB,677,JFK,LAX,323,2475,21,7
2013,1,1,2128,-7,26,-24,AA,N338AA,185,JFK,LAX,338,2475,21,28
2013,1,2,603,4,912,-4,UA,N17229,1676,EWR,LAX,341,2454,6,3
2013,1,2,616,16,1001,44,UA,N19141,1141,JFK,LAX,354,2475,6,16
2013,1,2,632,2,941,1,UA,N521UA,387,EWR,LAX,325,2454,6,32
2013,1,2,655,-5,1031,-3,DL,N705TW,763,JFK,LAX,317,2475,6,55
2013,1,2,659,-1,959,-26,VX,N626VA,399,JFK,LAX,330,2475,6,59
